,id,created_at,full_text,display_text_range,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,retweet_count,favorite_count,possibly_sensitive
0,1468233562742788111,Tue Dec 07 14:58:54 +0000 2021,"Mit dem #Koalitionsvertrag, den SPD, FDP und wir heute unterzeichnet haben, kommen wir endlich auf der Höhe der gesellschaftlichen Realität an. Leitbild unserer gemeinsamen Zusammenarbeit soll die Vielfalt unseres Landes sein. https://t.co/IfKNUINVQ3","[0, 226]",,,False,10,288,False
1,1466482642942054400,Thu Dec 02 19:01:22 +0000 2021,Mit der offiziellen Verabschiedung heute Abend beginnt dann ein neuer Lebensabschnitt für Angela Merkel. Dafür wünsche ich ihr von Herzen alles Gute! 3/3,"[0, 153]",2179010672.0,ABaerbock,False,92,6208,
2,1466482641578999817,Thu Dec 02 19:01:22 +0000 2021,"Sich selbst zurücknehmen zu können und in den Dienst der Sache zu stellen, hat das Machtverständnis der Republik – und ja, auch der Welt – verändert. 2/3","[0, 153]",2179010672.0,ABaerbock,False,93,5288,
3,1466482640102510601,Thu Dec 02 19:01:21 +0000 2021,"Unser Land hat Angela Merkels politischer Ära 
Stabilität und Freiheit in Krisenzeiten zu verdanken sowie einen anderen Politikstil: nicht laut auf den Tisch hauend, sondern mit Klugheit, Fakten und Empathie. 1/3","[0, 212]",,,False,384,10470,
4,1464983672415608834,Sun Nov 28 15:45:00 +0000 2021,"Jüdische Gemeinden in aller Welt feiern ab heute Nachmittag Chanukka, das Lichterfest. Mit dem Licht der Chanukka-Kerzen vergrößert sich der Lichtkegel von Vielfalt, Demokratie und Menschenwürde. Sie bereichern uns alle. #HannukahSameach","[0, 237]",,,False,183,3558,
5,1464162120048824324,Fri Nov 26 09:20:26 +0000 2021,"@HeikoMaas ganz herzlichen Dank, lieber @HeikoMaas, für die Glückwünsche und deinen Einsatz für Deutschland und Europa!","[11, 119]",24158261.0,HeikoMaas,False,17,2485,
6,1463549313615810561,Wed Nov 24 16:45:22 +0000 2021,Wir stellen Kinder in den Mittelpunkt unserer Politik. Mit der Kindergrundsicherung bringen wir einen Neustart in der Familienförderung auf den Weg. Und es ist klar: Es braucht Deutschland als starken Akteur in Europa und der Welt.,"[0, 231]",2179010672.0,ABaerbock,False,27,686,
7,1463549312244359169,Wed Nov 24 16:45:22 +0000 2021,"Mit dem #Koalitionsvertrag gießen wir ein solides Fundament für echte Veränderung: Unter anderem werden wir ein Klimaschutz-Sofortprogramm mit allen notwendigen Gesetzen, Verordnungen und Maßnahmen auf den Weg bringen.","[0, 218]",2179010672.0,ABaerbock,False,20,633,
8,1463549310642053129,Wed Nov 24 16:45:21 +0000 2021,"Fortschritt ist das Leitmotiv, unter das wir die nächsten vier Jahre stellen wollen und müssen, denn es gilt die Pandemie zu bewältigen, die Klimakrise einzudämmen, nachhaltigen Wohlstand neu zu begründen und im gesellschaftlichen Wandel Zusammenhalt neu zu bestimmen.","[0, 268]",2179010672.0,ABaerbock,False,7,186,
9,1463549308330983426,Wed Nov 24 16:45:21 +0000 2021,"#MehrFortschrittWagen ist der Titel des Koalitionsvertrages, den wir heute gemeinsam mit SPD und FDP vorgestellt haben. https://t.co/FfMYfVuNOp https://t.co/IbmihNplzL","[0, 143]",,,False,102,1872,False
10,1461653288378589188,Fri Nov 19 11:11:14 +0000 2021,"Der @bundesrat hat in dieser dramatischen Lage das #Infektionsschutzgesetz einstimmig beschlossen. Gut, dass jetzt Klarheit und Rechtssicherheit herrschen und die Parteien an einem Strang ziehen. Bund und Länder haben jetzt wirksame Instrumente gegen die vierte Welle.","[0, 268]",,,False,80,1542,
